,userid,productid,main_category,sub_category,rating
218,13981,spf068064,sports & fitness,Fitness Accessories,4.6
219,87222,ggf146462,grocery & gourmet foods,"Coffee, Tea & Beverages",1.2
220,90344,hkt207626,home & kitchen,Home Storage,5.0
221,73992,wcl265090,women's clothing,Lingerie & Nightwear,1.8
222,13692,tvc169474,"tv, audio & cameras",Cameras,3.1
223,46242,hkt031527,home & kitchen,Kitchen & Dining,2.2
224,23511,mcl158779,men's clothing,T-shirts & Polos,2.0
225,25796,tvc190907,"tv, audio & cameras",Cameras,4.0
226,76712,wcl108334,women's clothing,Clothing,4.0
227,89950,tvc123561,"tv, audio & cameras",Home Entertainment Systems,4.1
228,55131,tvc145313,"tv, audio & cameras",Cameras,1.4
229,41328,msh205347,men's shoes,Formal Shoes,4.8
230,87672,bth013920,beauty & health,Beauty & Grooming,4.1
231,16825,wcl087284,women's clothing,Lingerie & Nightwear,2.0
232,84709,wcl060373,women's clothing,Ethnic Wear,2.0
233,40423,wcl232809,women's clothing,Ethnic Wear,1.6
234,17237,app207067,appliances,Heating & Cooling Appliances,2.5
235,66888,spf244171,sports & fitness,Yoga,2.0
236,69182,acs107649,accessories,Fashion & Silver Jewellery,3.7
237,98305,acs084956,accessories,Bags & Luggage,1.1
238,91142,app009237,appliances,Heating & Cooling Appliances,4.8
239,46242,app064414,appliances,Heating & Cooling Appliances,2.8
240,18861,str090792,stores,Sportswear,3.7
241,23688,kfa133138,kids' fashion,Kids' Fashion,2.9
242,68234,tvc089843,"tv, audio & cameras",Cameras,2.5
243,35931,wcl149092,women's clothing,Western Wear,3.4
244,45217,mcl101147,men's clothing,T-shirts & Polos,4.2
245,63072,msh241156,men's shoes,Sports Shoes,1.8
246,31956,wcl237303,women's clothing,Western Wear,2.6
247,26217,wcl128044,women's clothing,Lingerie & Nightwear,4.9
248,81269,acs047747,accessories,Bags & Luggage,1.6
249,30668,wcl211553,women's clothing,Ethnic Wear,4.3
250,56443,msh083418,men's shoes,Sports Shoes,1.4
251,44666,kfa120528,kids' fashion,Kids' Shoes,1.6
252,12225,app061048,appliances,Kitchen & Home Appliances,2.4
253,24700,acs123141,accessories,Handbags & Clutches,3.6
254,53875,acs183565,accessories,Fashion & Silver Jewellery,1.8
255,25796,str191015,stores,Men's Fashion,5.0
256,89474,wcl100213,women's clothing,Western Wear,4.0
257,13643,hkt246701,home & kitchen,Kitchen Storage & Containers,4.5
258,11181,wcl135851,women's clothing,Western Wear,2.7
259,75741,kfa098622,kids' fashion,Kids' Clothing,2.9
260,17179,wcl232655,women's clothing,Clothing,1.4
261,55240,wcl053510,women's clothing,Clothing,4.8
262,19953,app212794,appliances,Heating & Cooling Appliances,2.5
263,83474,mcl197926,men's clothing,T-shirts & Polos,2.7
264,22963,acs142273,accessories,Bags & Luggage,4.6
265,64625,cmb177263,car & motorbike,Car Parts,1.1
266,24542,tvc018549,"tv, audio & cameras",Cameras,1.8
267,12124,acs179436,accessories,Handbags & Clutches,2.3
268,14231,acs031019,accessories,Handbags & Clutches,3.9
269,29253,msh204403,men's shoes,Casual Shoes,3.5
270,90638,bth042962,beauty & health,Make-up,1.4
271,87847,acs078143,accessories,Bags & Luggage,2.0
272,30981,acs010901,accessories,Bags & Luggage,2.9
273,44840,str096150,stores,Sportswear,4.5
274,18131,acs123030,accessories,Fashion & Silver Jewellery,3.5
275,27113,wcl009431,women's clothing,Lingerie & Nightwear,3.9
276,33933,wcl256834,women's clothing,Clothing,2.0
277,44005,acs226043,accessories,Bags & Luggage,1.1
278,13733,wsh177656,women's shoes,Fashion Sandals,2.8
279,37390,acs086760,accessories,Fashion & Silver Jewellery,3.4
280,88354,tvc122574,"tv, audio & cameras",Cameras,3.9
281,63072,msh104458,men's shoes,Formal Shoes,1.2
282,14599,tvc049494,"tv, audio & cameras",Headphones,3.5
283,21082,acs140864,accessories,Jewellery,2.6
284,11375,acs029420,accessories,Handbags & Clutches,2.1
285,59263,acs214797,accessories,Jewellery,1.3
286,61934,wcl257551,women's clothing,Clothing,1.2
287,36948,str064060,stores,Men's Fashion,4.1
288,77435,wcl221172,women's clothing,Western Wear,3.7
289,58377,hkt195310,home & kitchen,Bedroom Linen,3.2
290,46491,tvc245435,"tv, audio & cameras",Security Cameras,3.5
291,40116,app159295,appliances,Kitchen & Home Appliances,1.2
292,42831,acs149281,accessories,Jewellery,3.5
293,96316,app007121,appliances,Kitchen & Home Appliances,3.2
294,68841,msh132361,men's shoes,Casual Shoes,3.3
295,84955,acs032422,accessories,Fashion & Silver Jewellery,2.9
296,84678,bth218963,beauty & health,Make-up,1.5
297,83935,msh228784,men's shoes,Formal Shoes,2.3
298,62178,str016828,stores,Men's Fashion,2.3
299,31554,str197223,stores,Men's Fashion,3.1
300,89309,acs076743,accessories,Bags & Luggage,3.5
301,60227,msh037752,men's shoes,Formal Shoes,2.0
302,10048,tvc112399,"tv, audio & cameras",Home Entertainment Systems,1.7
303,96686,tvc135049,"tv, audio & cameras",Headphones,1.4
304,10241,acs055653,accessories,Bags & Luggage,3.6
305,82919,app186045,appliances,Kitchen & Home Appliances,3.3
306,57182,msh132829,men's shoes,Casual Shoes,1.4
307,38502,tvc218364,"tv, audio & cameras",Headphones,2.7
308,34973,wcl022386,women's clothing,Western Wear,1.1
309,36634,acs052658,accessories,Fashion & Silver Jewellery,3.2
310,94893,pet143753,pet supplies,Dog supplies,4.9
311,93532,acs084240,accessories,Bags & Luggage,1.1
312,69716,acs196307,accessories,Gold & Diamond Jewellery,3.0
313,96548,wcl089127,women's clothing,Clothing,1.1
314,31550,acs152309,accessories,Bags & Luggage,4.5
315,20690,wcl051498,women's clothing,Western Wear,4.0
316,64328,acs048670,accessories,Fashion & Silver Jewellery,2.1
317,72524,wcl209773,women's clothing,Western Wear,3.1
318,10484,mcl260050,men's clothing,T-shirts & Polos,3.8
319,83049,tvc259521,"tv, audio & cameras",Cameras,1.9
320,75622,bth030397,beauty & health,Beauty & Grooming,1.8
321,10561,acs201332,accessories,Bags & Luggage,1.5
322,19983,wcl219209,women's clothing,Clothing,1.1
323,70006,acs101391,accessories,Jewellery,4.2
324,82698,acs080728,accessories,Handbags & Clutches,4.3
325,23714,wcl115461,women's clothing,Western Wear,1.9
326,89186,app229928,appliances,Heating & Cooling Appliances,1.9
327,85806,wcl208311,women's clothing,Clothing,1.0
328,53096,tvc213795,"tv, audio & cameras",Security Cameras,3.2
329,52212,tvc166666,"tv, audio & cameras",Security Cameras,3.4
330,27584,mcl055550,men's clothing,Shirts,1.0
331,46888,acs171511,accessories,Fashion & Silver Jewellery,3.3
332,20484,acs175787,accessories,Fashion & Silver Jewellery,3.4
333,56376,spf027664,sports & fitness,Badminton,1.2
334,82770,str239377,stores,Men's Fashion,3.2
335,59179,acs148559,accessories,Fashion & Silver Jewellery,4.0
336,62499,str206599,stores,Men's Fashion,3.1
337,45308,wcl011091,women's clothing,Clothing,1.8
338,23511,msh022037,men's shoes,Sports Shoes,1.2
339,36800,mcl074810,men's clothing,T-shirts & Polos,3.0
340,78596,msh228557,men's shoes,Formal Shoes,4.5
341,18954,wsh134711,women's shoes,Fashion Sandals,4.6
342,75768,wcl194758,women's clothing,Clothing,3.4
343,79637,tvc006989,"tv, audio & cameras",Cameras,1.7
344,54255,wcl093880,women's clothing,Lingerie & Nightwear,1.2
345,38489,str169310,stores,Men's Fashion,3.2
346,14907,mcl068117,men's clothing,Shirts,4.1
347,75517,kfa161668,kids' fashion,Kids' Fashion,3.7
348,94913,msh031978,men's shoes,Sports Shoes,2.2
349,53527,app161774,appliances,Kitchen & Home Appliances,1.9
350,98305,mcl013570,men's clothing,Shirts,2.9
351,26068,acs172291,accessories,Fashion & Silver Jewellery,1.0
352,33104,hkt201665,home & kitchen,Indoor Lighting,2.3
353,42896,hkt029340,home & kitchen,Home Furnishing,4.4
354,21286,wcl040499,women's clothing,Clothing,4.5
355,27654,bth089833,beauty & health,Personal Care Appliances,2.2
356,46127,wcl015267,women's clothing,Western Wear,4.5
357,28528,msh139062,men's shoes,Casual Shoes,4.9
358,71336,tvc128613,"tv, audio & cameras",Headphones,3.5
359,59934,str050940,stores,Sportswear,4.1
360,41969,app029724,appliances,Kitchen & Home Appliances,3.8
361,17492,mcl188727,men's clothing,Innerwear,2.8
362,10572,ggf058901,grocery & gourmet foods,Snack Foods,4.7
363,40371,acs215478,accessories,Fashion & Silver Jewellery,3.2
364,73570,acs128024,accessories,Fashion & Silver Jewellery,4.4
365,50144,acs231969,accessories,Jewellery,1.6
366,96195,wsh217880,women's shoes,Shoes,3.6
367,14962,msh229193,men's shoes,Casual Shoes,2.5
368,66267,app211933,appliances,Heating & Cooling Appliances,2.7
369,13545,spf098830,sports & fitness,Yoga,3.6
370,20147,tvc117434,"tv, audio & cameras",Camera Accessories,1.7
371,94630,acs003217,accessories,Bags & Luggage,4.2
372,91003,mcl028396,men's clothing,Jeans,1.5
373,77702,str190101,stores,Women's Fashion,4.8
374,10122,wcl255572,women's clothing,Western Wear,4.9
375,18219,spf110148,sports & fitness,Cricket,5.0
376,89309,mcl241496,men's clothing,Shirts,1.9
377,73564,acs179505,accessories,Jewellery,4.6
378,87583,acs038299,accessories,Sunglasses,2.1
379,27048,str042424,stores,Men's Fashion,4.3
380,37133,acs091890,accessories,Bags & Luggage,4.3
381,82517,wcl048929,women's clothing,Lingerie & Nightwear,1.7
382,73034,bth202124,beauty & health,Health & Personal Care,2.7
383,41759,wcl073763,women's clothing,Clothing,4.2
384,61195,acs063692,accessories,Handbags & Clutches,1.7
385,59426,kfa151055,kids' fashion,Kids' Fashion,2.9
386,51019,msh079966,men's shoes,Sports Shoes,2.3
387,54979,acs142481,accessories,Fashion & Silver Jewellery,2.2
388,44666,acs237990,accessories,Jewellery,3.1
389,32963,wcl163004,women's clothing,Ethnic Wear,2.2
390,80997,str101468,stores,Men's Fashion,2.0
391,93374,msh187885,men's shoes,Sports Shoes,3.9
392,99119,acs063948,accessories,Bags & Luggage,1.0
393,47280,tvc259450,"tv, audio & cameras",Security Cameras,2.3
394,94069,acs060140,accessories,Fashion & Silver Jewellery,3.4
395,49808,msh240500,men's shoes,Casual Shoes,4.2
396,90607,mcl167879,men's clothing,Innerwear,2.5
397,51473,wcl069484,women's clothing,Ethnic Wear,2.3
398,75583,bth161672,beauty & health,Make-up,2.3
399,39592,acs259537,accessories,Bags & Luggage,1.5
400,60053,acs185796,accessories,Fashion & Silver Jewellery,3.8
401,42896,acs174629,accessories,Fashion & Silver Jewellery,2.8
402,55165,msh032949,men's shoes,Sports Shoes,2.8
403,60532,wcl206443,women's clothing,Lingerie & Nightwear,1.6
404,28291,wcl237954,women's clothing,Clothing,2.2
405,95071,wcl035501,women's clothing,Lingerie & Nightwear,2.0
406,17169,acs122355,accessories,Fashion & Silver Jewellery,4.5
407,60843,acs179965,accessories,Fashion & Silver Jewellery,2.8
408,31202,acs184569,accessories,Bags & Luggage,2.5
409,67459,mcl027915,men's clothing,T-shirts & Polos,3.6
410,93444,wcl181137,women's clothing,Clothing,3.8
411,87583,str150941,stores,Men's Fashion,1.3
412,51555,tvc180844,"tv, audio & cameras",Security Cameras,4.1
413,59426,hkt071129,home & kitchen,Home Furnishing,3.9
414,45893,bth222533,beauty & health,Personal Care Appliances,2.4
415,40211,hkt029258,home & kitchen,Garden & Outdoors,4.2
416,80153,acs152968,accessories,Handbags & Clutches,1.8
417,96195,str079697,stores,Men's Fashion,2.5
418,54143,wcl095543,women's clothing,Clothing,3.0
419,68835,mcl095548,men's clothing,Innerwear,4.6
420,80397,app217708,appliances,Heating & Cooling Appliances,3.9
421,50259,wcl043525,women's clothing,Lingerie & Nightwear,3.7
422,68888,cmb122693,car & motorbike,Car Accessories,2.4
423,45765,acs146171,accessories,Fashion & Silver Jewellery,4.1
424,40710,str207162,stores,Men's Fashion,1.9
425,95103,acs003984,accessories,Fashion & Silver Jewellery,3.7
426,93295,wcl031415,women's clothing,Clothing,4.9
427,17608,mcl104215,men's clothing,Innerwear,4.1
428,95290,tvc228919,"tv, audio & cameras",Headphones,2.7
429,28288,app095012,appliances,Heating & Cooling Appliances,2.7
430,13643,bag163950,bags & luggage,Wallets,4.6
431,69324,acs010337,accessories,Jewellery,1.8
432,54414,tvc088305,"tv, audio & cameras",Cameras,1.7
433,77162,acs222260,accessories,Jewellery,1.6
434,66809,tvc202750,"tv, audio & cameras",Headphones,3.5
435,27654,tvc148230,"tv, audio & cameras",Camera Accessories,4.3
436,36175,mcl009917,men's clothing,Innerwear,3.6
437,42635,tvc249642,"tv, audio & cameras",Camera Accessories,4.2
438,67477,str010298,stores,Women's Fashion,2.5
439,88041,acs201812,accessories,Bags & Luggage,2.7
440,14783,tvc250313,"tv, audio & cameras",Camera Accessories,2.1
441,39206,wcl146296,women's clothing,Clothing,4.9
442,58170,tvc060659,"tv, audio & cameras",Cameras,1.3
443,77741,wcl114624,women's clothing,Lingerie & Nightwear,3.6
444,73068,mcl221954,men's clothing,Innerwear,4.9
445,83367,pet026485,pet supplies,Dog supplies,1.8
446,21286,wcl193953,women's clothing,Ethnic Wear,1.5
447,91956,app127368,appliances,Kitchen & Home Appliances,3.7
448,65934,acs254877,accessories,Bags & Luggage,3.5
449,13635,app171549,appliances,Heating & Cooling Appliances,2.3
450,22953,wcl046085,women's clothing,Lingerie & Nightwear,3.4
451,49635,wcl118921,women's clothing,Ethnic Wear,1.0
452,98439,msh102540,men's shoes,Casual Shoes,1.4
453,13618,mcl072628,men's clothing,Shirts,2.5
454,48153,kfa110630,kids' fashion,Kids' Fashion,1.8
455,14282,app102993,appliances,Heating & Cooling Appliances,4.6
456,86598,wcl145427,women's clothing,Western Wear,2.7
457,11166,tvc042537,"tv, audio & cameras",Camera Accessories,4.9
458,32020,bth130387,beauty & health,Make-up,1.5
459,39890,tvc071241,"tv, audio & cameras",Cameras,4.7
460,50591,wcl188051,women's clothing,Ethnic Wear,1.7
461,20915,tvc031276,"tv, audio & cameras",Security Cameras,2.6
462,47175,kfa176757,kids' fashion,Baby Fashion,3.0
463,84955,mcl084744,men's clothing,T-shirts & Polos,1.6
464,21307,msh252789,men's shoes,Sports Shoes,4.1
465,57165,acs212725,accessories,Bags & Luggage,4.8
466,90344,tbp011980,toys & baby products,"Baby Bath, Skin & Grooming",4.7
467,17169,tvc104781,"tv, audio & cameras",Home Entertainment Systems,1.3
468,97941,spf141012,sports & fitness,Strength Training,1.1
469,91003,acs120531,accessories,Jewellery,2.9
470,97320,tbp259061,toys & baby products,Diapers,1.8
471,61157,wcl230395,women's clothing,Clothing,2.1
472,61398,str215536,stores,Men's Fashion,4.0
473,18629,acs151890,accessories,Fashion & Silver Jewellery,1.1
474,63497,acs109420,accessories,Watches,4.1
475,53732,wcl119212,women's clothing,Clothing,4.7
476,45672,app194900,appliances,Kitchen & Home Appliances,3.0
477,96570,acs064522,accessories,Handbags & Clutches,2.3
478,58429,acs230649,accessories,Fashion & Silver Jewellery,2.4
479,87222,acs022659,accessories,Bags & Luggage,1.1
480,50304,acs146047,accessories,Handbags & Clutches,4.7
481,11375,app025550,appliances,Kitchen & Home Appliances,1.7
482,48490,acs125262,accessories,Bags & Luggage,2.4
483,42119,wcl152970,women's clothing,Ethnic Wear,3.5
484,43236,acs106844,accessories,Bags & Luggage,1.5
